N, epsilon, m, error
8, 0.01, 0.7896977066993713, 0.6138855320824237
16, 0.01, 0.044867731630802155, 0.03485870701513501
32, 0.01, 0.504096508026123, 0.033053367849074165
64, 0.01, 0.3691070079803467, 0.004679298774307874
128, 0.01, 0.12487606704235077, 0.0004982177787634982
256, 0.01, 0.5229811668395996, 0.00018735307968777148
512, 0.01, 0.028552815318107605, 2.6894166427874483e-05
8, 0.001, 0.12329542636871338, 0.7038618684716454
16, 0.001, 0.28533735871315, 0.8438233110142694
32, 0.001, 0.3510401248931885, 0.066837066506718
64, 0.001, 0.1913548856973648, 0.028821426831092827
128, 0.001, 0.0406130775809288, 0.0011910360169459788
256, 0.001, 0.14038506150245667, 0.0011922519173530287
512, 0.001, 0.05519416928291321, 0.0025386094656764334
8, 0.0001, 0.38458961248397827, 0.713277826188484
16, 0.0001, 0.58152174949646, 0.864624995020541
32, 0.0001, 0.17299269139766693, 0.9318225923575789
64, 0.0001, 0.28467535972595215, 0.9409932732897137
128, 0.0001, 0.47683754563331604, 0.11573341700223175
256, 0.0001, 0.318179726600647, 0.09111011829390511
512, 0.0001, 0.15819531679153442, 0.043566557969023034
8, 1e-05, 0.574160635471344, 0.7141879832196429
16, 1e-05, 0.5417776107788086, 0.8664617695930187
32, 1e-05, 0.251979261636734, 0.9327200665208386
64, 1e-05, 0.34558671712875366, 0.9797100254498057
128, 1e-05, 0.4762735962867737, 1.011357460092776
256, 1e-05, 0.06640263646841049, 0.0001472748700208637
512, 1e-05, 0.5336828231811523, 0.022504097318774226
8, 1e-06, 0.37047529220581055, 0.7142756207381278
16, 1e-06, 0.22087673842906952, 0.8666447446110982
32, 1e-06, 0.41981345415115356, 0.9424616689780253
64, 1e-06, 0.20567505061626434, 0.9669869058760747
128, 1e-06, 0.1692047119140625, 0.985463449681609
256, 1e-06, 0.2793564200401306, 0.9946328184216394
512, 1e-06, 0.028307698667049408, 0.9944350728541249
8, 1e-07, 0.5880105495452881, 0.7142847395325224
16, 1e-07, 0.12123000621795654, 0.8666644390570307
32, 1e-07, 0.49925893545150757, 0.9586702596888445
64, 1e-07, 0.16905994713306427, 0.9815789268957111
128, 1e-07, 0.06594544649124146, 0.9940598884099267
256, 1e-07, 0.01822821795940399, 0.9936916301385221
512, 1e-07, 0.021505296230316162, 0.9985993752747034
