N, epsilon, m, error
8, 0.01, 0.04868900030851364, 0.0444856727989235
16, 0.01, 0.4065963625907898, 0.00878684711524269
32, 0.01, 0.30987685918807983, 0.002006767397541291
64, 0.01, 0.38112279772758484, 0.0005159708542166186
128, 0.01, 0.2406844049692154, 0.00012203506056788008
256, 0.01, 0.16922064125537872, 2.980308529709763e-05
512, 0.01, 0.30977803468704224, 7.68846810805801e-06
8, 0.001, 0.09973213076591492, 0.134202771324316
16, 0.001, 0.17540691792964935, 0.02273881045121751
32, 0.001, 0.057622525840997696, 0.005568322258124092
64, 0.001, 0.3587772846221924, 0.0014093817460137936
128, 0.001, 0.23165130615234375, 0.00033113707957544477
256, 0.001, 0.296343594789505, 8.612800295568386e-05
512, 0.001, 0.22779658436775208, 2.0314939099486118e-05
8, 0.0001, 0.2758105993270874, 1.277831251026877
16, 0.0001, 0.14764606952667236, 0.024487393007888335
32, 0.0001, 0.5061123371124268, 0.007212456862784267
64, 0.0001, 0.34998616576194763, 0.007977535433421447
128, 0.0001, 0.07713617384433746, 0.00033798187328937766
256, 0.0001, 0.028279073536396027, 8.181716014331797e-05
512, 0.0001, 0.11050496250391006, 2.2761372921674926e-05
8, 1e-05, 0.3504589796066284, 1.0051817478757035
16, 1e-05, 0.15677504241466522, 1.068491109757877
32, 1e-05, 0.37120550870895386, 0.01317516744622893
64, 1e-05, 0.02858942747116089, 0.0010718871040524824
128, 1e-05, 0.2014133632183075, 0.0002443969806583679
256, 1e-05, 0.19726260006427765, 6.56790395811152e-05
512, 1e-05, 0.19301527738571167, 1.588180238707576e-05
8, 1e-06, 0.7665801048278809, 1.0001279854975778
16, 1e-06, 0.10168826580047607, 1.0263236610251292
32, 1e-06, 0.7680215835571289, 1.001693267414622
64, 1e-06, 0.08676987886428833, 0.014021190908864112
128, 1e-06, 0.3661295771598816, 0.0002143693395323526
256, 1e-06, 0.14124828577041626, 6.144012294595491e-05
512, 1e-06, 0.40838009119033813, 2.333099232010305e-05
8, 1e-07, 0.0545249879360199, 1.0000936221540146
16, 1e-07, 0.5272480845451355, 1.0043930640830543
32, 1e-07, 0.09260836243629456, 1.0017470470560077
64, 1e-07, 0.05953563004732132, 1.0160889695297528
128, 1e-07, 0.20596644282341003, 0.0006309139665698904
256, 1e-07, 0.09864865243434906, 6.320625470901398e-05
512, 1e-07, 0.3188256025314331, 0.000374071192725256
