N, epsilon, m, error
8, 0.01, 0.18102377653121948, 0.8119696860735425
16, 0.01, 0.41607117652893066, 0.011241476477706179
32, 0.01, 0.17892278730869293, 0.010161868667267312
64, 0.01, 0.3324587047100067, 0.0003771304819398802
128, 0.01, 0.23465871810913086, 9.099626850250786e-05
256, 0.01, 0.1425892859697342, 2.4817406118621266e-05
512, 0.01, 0.12144206464290619, 6.079168171468918e-06
8, 0.001, 0.04876546934247017, 0.985256874368047
16, 0.001, 0.02573982998728752, 0.9449127915443738
32, 0.001, 0.06418803334236145, 0.10765389796570873
64, 0.001, 0.26601970195770264, 0.0008572632155470772
128, 0.001, 0.15557704865932465, 0.00019795683160517275
256, 0.001, 0.0010056830942630768, 5.794377621881619e-05
512, 0.001, 0.2761472463607788, 1.2400132635037586e-05
8, 0.0001, 0.3064565062522888, 0.998667592141052
16, 0.0001, 0.13357490301132202, 0.9965053288372516
32, 0.0001, 0.21859058737754822, 0.980541247639047
64, 0.0001, 0.4250689446926117, 0.19639758739014096
128, 0.0001, 0.37260499596595764, 0.11661169696118151
256, 0.0001, 0.21456803381443024, 0.039950094336841525
512, 0.0001, 0.0022083446383476257, 0.03124724635189539
8, 1e-05, 0.17715740203857422, 0.9998571246912263
16, 1e-05, 0.312532901763916, 0.999671185703821
32, 1e-05, 0.22646857798099518, 0.9989280123351911
64, 1e-05, 0.2668701410293579, 0.9924325927594619
128, 1e-05, 0.19939392805099487, 0.9656987885504724
256, 1e-05, 0.6858180165290833, 3.643344657916492e-05
512, 1e-05, 0.2940419018268585, 1.3399532879043718e-05
8, 1e-06, 0.1724485158920288, 0.9999855414864663
16, 1e-06, 0.030394211411476135, 0.9999521790398088
32, 1e-06, 0.3816492259502411, 0.9999555919925627
64, 1e-06, 0.22473102807998657, 0.999908057808064
128, 1e-06, 0.3013581931591034, 0.9991753567357025
256, 1e-06, 0.3843393921852112, 0.8918437792474404
512, 1e-06, 0.17261148989200592, 0.973818316298694
8, 1e-07, 0.4753752648830414, 0.9999984034093049
16, 1e-07, 0.24380822479724884, 0.999996390347996
32, 1e-07, 0.05001212656497955, 0.9999930034898258
64, 1e-07, 0.3917008638381958, 0.9999911880936353
128, 1e-07, 0.22676025331020355, 0.9999815647878871
256, 1e-07, 0.152558371424675, 0.9998142421637619
512, 1e-07, 0.00574076920747757, 0.9999044633257039
